nombre,surgery_wait_days,wait_recorded_quarter,source_url
Hospital Regional Universitario de Málaga (Carlos Haya),,2025-Q4,https://www.sspa.juntadeandalucia.es/servicioandaluzdesalud/profesionales/sistemas-de-informacion/sistema-de-informacion-de-demanda-asistencial-y-listas-de-espera
Hospital Materno-Infantil,,2025-Q4,https://www.sspa.juntadeandalucia.es/servicioandaluzdesalud/profesionales/sistemas-de-informacion/sistema-de-informacion-de-demanda-asistencial-y-listas-de-espera
Hospital Civil,,2025-Q4,https://www.sspa.juntadeandalucia.es/servicioandaluzdesalud/profesionales/sistemas-de-informacion/sistema-de-informacion-de-demanda-asistencial-y-listas-de-espera
Hospital Clínico Universitario Virgen de la Victoria,,2025-Q4,https://www.sspa.juntadeandalucia.es/servicioandaluzdesalud/profesionales/sistemas-de-informacion/sistema-de-informacion-de-demanda-asistencial-y-listas-de-espera
Hospital Costa del Sol,,2025-Q4,https://www.sspa.juntadeandalucia.es/servicioandaluzdesalud/profesionales/sistemas-de-informacion/sistema-de-informacion-de-demanda-asistencial-y-listas-de-espera
Hospital de la Axarquía,,2025-Q4,https://www.sspa.juntadeandalucia.es/servicioandaluzdesalud/profesionales/sistemas-de-informacion/sistema-de-informacion-de-demanda-asistencial-y-listas-de-espera
Hospital Comarcal de Antequera,,2025-Q4,https://www.sspa.juntadeandalucia.es/servicioandaluzdesalud/profesionales/sistemas-de-informacion/sistema-de-informacion-de-demanda-asistencial-y-listas-de-espera
Hospital Comarcal de la Serranía,,2025-Q4,https://www.sspa.juntadeandalucia.es/servicioandaluzdesalud/profesionales/sistemas-de-informacion/sistema-de-informacion-de-demanda-asistencial-y-listas-de-espera
