nombre,acsa_accreditation,source_url
Hospital Costa del Sol,excelente,https://www.juntadeandalucia.es/agenciadecalidadsanitaria/
Hospital Clínico Universitario Virgen de la Victoria,optima,https://www.juntadeandalucia.es/agenciadecalidadsanitaria/
Hospital Regional Universitario de Málaga (Carlos Haya),optima,https://www.juntadeandalucia.es/agenciadecalidadsanitaria/
Hospital Comarcal de Antequera,avanzada,https://www.juntadeandalucia.es/agenciadecalidadsanitaria/
Hospital de la Axarquía,avanzada,https://www.juntadeandalucia.es/agenciadecalidadsanitaria/
